insertion_3 lns without initial solution 
run 1 / 10 with seed = -1904485001:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 2 / 10 with seed = -1737648955:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 3 / 10 with seed =  -810588197:  	Time: 900.006 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 4 / 10 with seed = -1755204120:  	Time: 900.005 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 5 / 10 with seed =  -297573884:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 6 / 10 with seed = -1004154478:  	Time: 900.087 / 900.000 [s] 	Best objective: 732.570 	#Solutions found: 134 	Unique solutions found: 134
	t = 877.907 [s] 	 obj = 754.147
	t = 878.041 [s] 	 obj = 753.991
	t = 878.293 [s] 	 obj = 751.467
	t = 890.877 [s] 	 obj = 749.157
	t = 892.903 [s] 	 obj = 748.770
	t = 894.203 [s] 	 obj = 746.969
	t = 895.499 [s] 	 obj = 732.570
run 7 / 10 with seed =  -238021762:  	Time: 900.101 / 900.000 [s] 	Best objective: 793.157 	#Solutions found: 100 	Unique solutions found: 100
	t = 485.326 [s] 	 obj = 942.848
	t = 485.520 [s] 	 obj = 942.025
	t = 485.831 [s] 	 obj = 938.464
	t = 485.926 [s] 	 obj = 938.133
	t = 486.021 [s] 	 obj = 935.367
	t = 486.318 [s] 	 obj = 934.656
	t = 487.585 [s] 	 obj = 934.470
	t = 487.678 [s] 	 obj = 933.711
	t = 488.652 [s] 	 obj = 932.585
	t = 489.028 [s] 	 obj = 930.081
	t = 489.315 [s] 	 obj = 928.863
	t = 491.998 [s] 	 obj = 928.830
	t = 494.004 [s] 	 obj = 928.414
	t = 494.987 [s] 	 obj = 927.907
	t = 496.401 [s] 	 obj = 926.408
	t = 506.060 [s] 	 obj = 923.444
	t = 507.508 [s] 	 obj = 922.178
	t = 511.487 [s] 	 obj = 919.445
	t = 511.699 [s] 	 obj = 913.934
	t = 536.207 [s] 	 obj = 913.252
	t = 552.984 [s] 	 obj = 911.160
	t = 557.265 [s] 	 obj = 899.650
	t = 557.710 [s] 	 obj = 899.115
	t = 560.565 [s] 	 obj = 898.759
	t = 561.177 [s] 	 obj = 898.559
	t = 580.703 [s] 	 obj = 897.869
	t = 580.798 [s] 	 obj = 894.522
	t = 582.265 [s] 	 obj = 893.411
	t = 582.368 [s] 	 obj = 889.687
	t = 582.573 [s] 	 obj = 887.329
	t = 589.301 [s] 	 obj = 883.099
	t = 590.583 [s] 	 obj = 883.040
	t = 592.273 [s] 	 obj = 882.329
	t = 596.262 [s] 	 obj = 881.928
	t = 596.578 [s] 	 obj = 880.120
	t = 597.199 [s] 	 obj = 877.816
	t = 597.617 [s] 	 obj = 877.383
	t = 597.715 [s] 	 obj = 877.314
	t = 598.960 [s] 	 obj = 876.112
	t = 602.823 [s] 	 obj = 875.950
	t = 602.928 [s] 	 obj = 875.823
	t = 603.337 [s] 	 obj = 875.458
	t = 603.545 [s] 	 obj = 873.813
	t = 604.897 [s] 	 obj = 872.912
	t = 606.026 [s] 	 obj = 872.269
	t = 611.001 [s] 	 obj = 871.531
	t = 611.118 [s] 	 obj = 871.419
	t = 612.053 [s] 	 obj = 870.841
	t = 612.810 [s] 	 obj = 870.096
	t = 616.386 [s] 	 obj = 869.593
	t = 617.516 [s] 	 obj = 868.833
	t = 617.869 [s] 	 obj = 867.163
	t = 618.310 [s] 	 obj = 866.993
	t = 618.661 [s] 	 obj = 866.726
	t = 620.463 [s] 	 obj = 866.183
	t = 620.901 [s] 	 obj = 864.664
	t = 621.649 [s] 	 obj = 855.696
	t = 626.982 [s] 	 obj = 850.549
	t = 627.096 [s] 	 obj = 844.970
	t = 628.141 [s] 	 obj = 841.932
	t = 628.477 [s] 	 obj = 837.658
	t = 652.380 [s] 	 obj = 835.318
	t = 652.475 [s] 	 obj = 831.205
	t = 652.673 [s] 	 obj = 829.309
	t = 657.759 [s] 	 obj = 826.991
	t = 658.840 [s] 	 obj = 824.055
	t = 658.946 [s] 	 obj = 823.472
	t = 661.683 [s] 	 obj = 822.936
	t = 664.109 [s] 	 obj = 822.692
	t = 666.229 [s] 	 obj = 821.247
	t = 684.720 [s] 	 obj = 820.003
	t = 685.463 [s] 	 obj = 819.496
	t = 685.862 [s] 	 obj = 818.486
	t = 686.303 [s] 	 obj = 817.613
	t = 690.933 [s] 	 obj = 816.925
	t = 702.098 [s] 	 obj = 813.988
